"","�..","Official.Name.of.Satellite","Country.Organization.of.UN.Registry","Operator.Owner","Country.of.Operator.Owner","Users","Purpose","Detailed.Purpose","Class.of.Orbit","Type.of.Orbit","Longitude.of.Geosynchronous.Orbit..Degrees.","Perigee..Kilometers.","Apogee..Kilometers.","Eccentricity","Inclination..Degrees.","Period..Minutes.","Launch.Mass..Kilograms.","Dry.Mass..Kilograms.","Power..Watts.","Date.of.Launch","Expected.Lifetime..Years.","Contractor","Country.of.Contractor","Launch.Site","Launch.Vehicle","COSPAR.Number","NORAD.Number","launch.lng","launch.lat"
"1",1,"AAUSat-4","NR","University of Aalborg","Denmark","Civil","Earth Observation","Automatic Identification System (AIS)","LEO","Sun-Synchronous",0,442,687,0.0177,98.2,"95.9","1","","",2016-04-25,"","University of Aalborg","Denmark","Guiana Space Center","Soyuz 2.1a","2016-025E",41460,-52.76898,5.21603
"2",2,"ABS-2","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",75,35778,35793,0.000178,0.08,"1436.03","6330","","16000",2014-02-06,"15","Space Systems/Loral","USA","Guiana Space Center","Ariane  5 ECA","2014-006A",39508,-52.76898,5.21603
"3",3,"ABS-2A","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",-75,35700,35700,0,0,"1436.1","1800","","",2016-06-15,"15","Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2016-038A",41588,-80.53311,28.45861
"4",4,"ABS-3","Philippines","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",146.06,35769,35802,0.000391,0.05,"1436.07","3775","1800","9000",1997-08-19,"15","Space Systems/Loral","USA","Xichang Satellite Launch Center","Long March CZ3B","1997-042A",24901,-57.65625,-14.60485
"5",5,"ABS-3A","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",-3,35788,35803,0.000178,0.1,"1436","2000","","",2015-03-02,"15","Boeing Satellite Systems","USA","Cape Canaveral","Falcon 9","2015-010A",40424,-80.53311,28.45861
"6",6,"ABS-4","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",75,35780,35793,0.000154,0.01,"1436.1","4143","1700","7400",2004-03-13,"12","Space Systems/Loral","USA","Cape Canaveral","Atlas 3","2004-007A",28184,-80.53311,28.45861
"7",7,"ABS-6","NR","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",159,35777,35794,0.000202,0.01,"1436.08","2894","1730","6,800 (EOL)",1999-09-26,"15","Lockheed Martin","USA","Baikonur Cosmodrome","Proton","1999-053A",25924,63.30091,46.00573
"8",8,"ABS-7","South Korea","Asia Broadcast Satellite Ltd.","Multinational","Commercial","Communications","","GEO","",116.18,35780,35791,0.00013,0.01,"1436.06","3500","1800","4800",1999-09-04,"15","Lockheed Martin Astro Space","USA","Guiana Space Center","Ariane","1999-046A",25894,-52.76898,5.21603
"9",9,"Advanced Data Relay and Technology Mission Satellite (Artemis) ","ESA","European Space Agency","ESA","Commercial/Government","Communications/Technology Development","","GEO","",21.36,35771,35803,0.00038,7.03,"1436.12","3105","1500","4600",2001-07-12,"10","Alenia Spazio","Italy","Guiana Space Center","Ariane 5G","2001-029A",26863,-52.76898,5.21603
"10",10,"Aeneas","USA","Department of Homeland Security","USA","Government","Technology Development","","LEO","Equatorial",0,480,790,0.0221,0.02,"97.4","3","","",2012-09-13,"","University of Southern California","USA","Vandenberg AFB","Atlas 5","2012-048C",38760,-120.53757,34.75046
"11",11,"Aerocube 4.5A","USA","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,495,791,0.0211,64.6,"97.5","5","","",2012-09-13,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2012-048K",38767,-120.53757,34.75046
"12",12,"Aerocube 4.5B","USA","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,499,792,0.0209,64.6,"97.6","5","","",2012-09-13,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2012-048L",38768,-120.53757,34.75046
"13",13,"Aerocube 5A","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"2","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2013-072D",39465,-120.53757,34.75046
"14",14,"Aerocube 5B","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Polar",0,443,886,0.0315,120.3,"98","5","","",2013-12-06,"2","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2013-072E",39466,-120.53757,34.75046
"15",15,"Aerocube 5C","NR","Aerospace Corporation","USA","Commercial","Technology Development","","LEO","Non-Polar Inclined",0,500,802,0.0215,64.78,"97.74","2","","",2015-10-08,"","Aerospace Corporation","USA","Vandenberg AFB","Atlas 5","2015-058B",40965,-120.53757,34.75046
